Wavelength,SPD
687,0.24130627382
688,0.235387065958
689,0.230065080553
690,0.223573213763
691,0.218722399291
692,0.213793736722
693,0.208540282213
694,0.203602725952
695,0.199042899543
696,0.193254401564
697,0.189489267257
698,0.184221837189
699,0.178736185288
700,0.174580269443
701,0.16983390753
702,0.165955850724
703,0.16081870703
704,0.157136503414
705,0.152856653833
706,0.149506441327
707,0.143630007887
708,0.14364999606
709,0.13692280673
710,0.133285841251
711,0.129718254171
712,0.127109448957
713,0.122912106316
714,0.119064542409
715,0.115600136876
716,0.112499485881
717,0.109731249503
718,0.107029426718
719,0.10334849363
720,0.100709272857
721,0.0982937795356
722,0.0953090153612
723,0.0931819690493
724,0.0909462353299
725,0.08858166764
726,0.0855616476724
727,0.0861860579567
728,0.0895572660304
729,0.0816203026626
